1.0	0.0
1.1	0.0
1.2	0.02
1.3	0.02
1.4	0.01
1.5	0.01
1.6	0.03
1.7	0.06
1.8	0.04
1.9	0.21
2.0	0.12
2.1	0.26
2.2	0.3
2.3	0.35
2.4	0.47
2.5	0.49
2.6	0.79
2.7	0.65
2.8	0.73
2.9	0.64
3.0	0.66
3.1	0.59
3.2	0.66
3.3	0.67
3.4	0.4
3.5	0.35
3.6	0.36
3.7	0.34
3.8	0.22
3.9	0.17
4.0	0.09
4.1	0.08
4.2	0.09
4.3	0.04
4.4	0.02
4.5	0.03
4.6	0.01
4.7	0.02
4.8	0.0


1.0	0.0
1.1	0.0
1.2	0.0
1.3	0.0
1.4	0.0
1.5	0.0
1.6	0.0
1.7	0.0
1.8	0.0
1.9	0.0
2.0	0.01
2.1	0.02
2.2	0.08
2.3	0.28
2.4	0.38
2.5	0.42
2.6	0.74
2.7	1.02
2.8	1.33
2.9	1.05
3.0	1.18
3.1	1.11
3.2	0.72
3.3	0.59
3.4	0.45
3.5	0.31
3.6	0.13
3.7	0.08
3.8	0.07
3.9	0.02
4.0	0.01
4.1	0.0
4.2	0.0
4.3	0.0
4.4	0.0
4.5	0.0
4.6	0.0
4.7	0.0
4.8	0.0


1.0	0.0
1.1	0.0
1.2	0.0
1.3	0.0
1.4	0.0
1.5	0.0
1.6	0.0
1.7	0.0
1.8	0.0
1.9	0.0
2.0	0.0
2.1	0.0
2.2	0.0
2.3	0.06
2.4	0.2
2.5	0.27
2.6	0.53
2.7	1.16
2.8	1.55
2.9	1.33
3.0	1.74
3.1	1.27
3.2	0.88
3.3	0.47
3.4	0.33
3.5	0.14
3.6	0.05
3.7	0.02
3.8	0.0
3.9	0.0
4.0	0.0
4.1	0.0
4.2	0.0
4.3	0.0
4.4	0.0
4.5	0.0
4.6	0.0
4.7	0.0
4.8	0.0


