-5 -5 0 -10
-5 -4 -1 -8
-5 -3 -2 -6
-5 -2 -3 -4
-5 -1 -4 -2
-5 0 -5 0
-5 1 -6 2
-5 2 -7 4
-5 3 -8 6
-5 4 -9 8
-5 5 -10 10
-4 -5 1 -10
-4 -4 0 -8
-4 -3 -1 -6
-4 -2 -2 -4
-4 -1 -3 -2
-4 0 -4 0
-4 1 -5 2
-4 2 -6 4
-4 3 -7 6
-4 4 -8 8
-4 5 -9 10
-3 -5 2 -10
-3 -4 1 -8
-3 -3 0 -6
-3 -2 -1 -4
-3 -1 -2 -2
-3 0 -3 0
-3 1 -4 2
-3 2 -5 4
-3 3 -6 6
-3 4 -7 8
-3 5 -8 10
-2 -5 3 -10
-2 -4 2 -8
-2 -3 1 -6
-2 -2 0 -4
-2 -1 -1 -2
-2 0 -2 0
-2 1 -3 2
-2 2 -4 4
-2 3 -5 6
-2 4 -6 8
-2 5 -7 10
-1 -5 4 -10
-1 -4 3 -8
-1 -3 2 -6
-1 -2 1 -4
-1 -1 0 -2
-1 0 -1 0
-1 1 -2 2
-1 2 -3 4
-1 3 -4 6
-1 4 -5 8
-1 5 -6 10
0 -5 5 -10
0 -4 4 -8
0 -3 3 -6
0 -2 2 -4
0 -1 1 -2
0 0 0 0
0 1 -1 2
0 2 -2 4
0 3 -3 6
0 4 -4 8
0 5 -5 10
1 -5 6 -10
1 -4 5 -8
1 -3 4 -6
1 -2 3 -4
1 -1 2 -2
1 0 1 0
1 1 0 2
1 2 -1 4
1 3 -2 6
1 4 -3 8
1 5 -4 10
2 -5 7 -10
2 -4 6 -8
2 -3 5 -6
2 -2 4 -4
2 -1 3 -2
2 0 2 0
2 1 1 2
2 2 0 4
2 3 -1 6
2 4 -2 8
2 5 -3 10
3 -5 8 -10
3 -4 7 -8
3 -3 6 -6
3 -2 5 -4
3 -1 4 -2
3 0 3 0
3 1 2 2
3 2 1 4
3 3 0 6
3 4 -1 8
3 5 -2 10
4 -5 9 -10
4 -4 8 -8
4 -3 7 -6
4 -2 6 -4
4 -1 5 -2
4 0 4 0
4 1 3 2
4 2 2 4
4 3 1 6
4 4 0 8
4 5 -1 10
5 -5 10 -10
5 -4 9 -8
5 -3 8 -6
5 -2 7 -4
5 -1 6 -2
5 0 5 0
5 1 4 2
5 2 3 4
5 3 2 6
5 4 1 8
5 5 0 10
