-10 5 -15 10
-9 4 -13 8
-8 3 -11 6
-7 2 -9 4
-6 1 -7 2
-5 0 -5 0
-4 -1 -3 -2
-3 -2 -1 -4
-2 -3 1 -6
-1 -4 3 -8
0 -5 5 -10
-9 5 -14 10
-8 4 -12 8
-7 3 -10 6
-6 2 -8 4
-5 1 -6 2
-4 0 -4 0
-3 -1 -2 -2
-2 -2 0 -4
-1 -3 2 -6
0 -4 4 -8
1 -5 6 -10
-8 5 -13 10
-7 4 -11 8
-6 3 -9 6
-5 2 -7 4
-4 1 -5 2
-3 0 -3 0
-2 -1 -1 -2
-1 -2 1 -4
0 -3 3 -6
1 -4 5 -8
2 -5 7 -10
-7 5 -12 10
-6 4 -10 8
-5 3 -8 6
-4 2 -6 4
-3 1 -4 2
-2 0 -2 0
-1 -1 0 -2
0 -2 2 -4
1 -3 4 -6
2 -4 6 -8
3 -5 8 -10
-6 5 -11 10
-5 4 -9 8
-4 3 -7 6
-3 2 -5 4
-2 1 -3 2
-1 0 -1 0
0 -1 1 -2
1 -2 3 -4
2 -3 5 -6
3 -4 7 -8
4 -5 9 -10
-5 5 -10 10
-4 4 -8 8
-3 3 -6 6
-2 2 -4 4
-1 1 -2 2
0 0 0 0
1 -1 2 -2
2 -2 4 -4
3 -3 6 -6
4 -4 8 -8
5 -5 10 -10
-4 5 -9 10
-3 4 -7 8
-2 3 -5 6
-1 2 -3 4
0 1 -1 2
1 0 1 0
2 -1 3 -2
3 -2 5 -4
4 -3 7 -6
5 -4 9 -8
6 -5 11 -10
-3 5 -8 10
-2 4 -6 8
-1 3 -4 6
0 2 -2 4
1 1 0 2
2 0 2 0
3 -1 4 -2
4 -2 6 -4
5 -3 8 -6
6 -4 10 -8
7 -5 12 -10
-2 5 -7 10
-1 4 -5 8
0 3 -3 6
1 2 -1 4
2 1 1 2
3 0 3 0
4 -1 5 -2
5 -2 7 -4
6 -3 9 -6
7 -4 11 -8
8 -5 13 -10
-1 5 -6 10
0 4 -4 8
1 3 -2 6
2 2 0 4
3 1 2 2
4 0 4 0
5 -1 6 -2
6 -2 8 -4
7 -3 10 -6
8 -4 12 -8
9 -5 14 -10
0 5 -5 10
1 4 -3 8
2 3 -1 6
3 2 1 4
4 1 3 2
5 0 5 0
6 -1 7 -2
7 -2 9 -4
8 -3 11 -6
9 -4 13 -8
10 -5 15 -10
